"x"
"Lamproptera Gray, 1832"
"Leptocircus Swainson, 1833"
"Papilio curius  Fabricius, 1787"
"Leptocircus curius tutationis  Fruhstorfer, 1909"
"Leptocircus curius magistralis  Fruhstorfer, 1909"
"Leptocircus curius libelluloides  Fruhstorfer, 1898"
"Leptocircus walkeri  Moore, 1902"
"Papilio meges  Zinken, 1831"
"Leptocircus meges squamosus  van Eecke, 1913"
"Leptocircus ennius  C. & R. Felder, 1865"
"meges akirai  Tsukada & Nishiyama, 1980"
"Leptocircus virescens  Butler, [1870]"
"Leptocircus meges annamiticus  Fruhstorfer, 1909"
"Leptocircus meges pallidus  Fruhstorfer, 1909"
"Leptocircus meges niasicus  Fruhstorfer, 1909"
"Leptocircus decius  C. & R. Felder, 1862"
"Leptocircus wilsonii  Reakirt, [1865]"
"Lamproptera meges decius "
"Lamproptera meges pessimus  Fruhstorfer, 1909"
"Lamproptera amplifascia  Tytler, 1939"
"Leptocircus curtius  Wallace, 1865"
