"","x"
"1","Lamproptera Gray"
"2","Leptocircus Swainson"
"3","Papilio curius  Fabricius"
"4","Leptocircus curius tutationis  Fruhstorfer"
"5","Leptocircus curius magistralis  Fruhstorfer"
"6","Leptocircus curius libelluloides  Fruhstorfer"
"7","Leptocircus walkeri  Moore"
"8","Papilio meges  Zinken"
"9","Leptocircus meges squamosus  van Eecke"
"10","Leptocircus ennius  C. & R. Felder"
"11","meges akirai  Tsukada & Nishiyama"
"12","Leptocircus virescens  Butler"
"13","Leptocircus meges annamiticus  Fruhstorfer"
"14","Leptocircus meges pallidus  Fruhstorfer"
"15","Leptocircus meges niasicus  Fruhstorfer"
"16","Leptocircus decius  C. & R. Felder"
"17","Leptocircus wilsonii  Reakirt"
"18"," Lamproptera meges decius "
"19","Lamproptera meges pessimus  Fruhstorfer"
"20","Lamproptera amplifascia  Tytler"
"21","Leptocircus curtius  Wallace"
