,Family,SciName,Distribution
2,Buthidae,"Charmus indicus Hirst, 1915","Andhra Pradesh, Kerala, Pondicherry and Tamil Nadu."
3,Buthidae,"Hottentotta rugiscutis (Pocock, 1897) (Fig. 36)","Andhra Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Pondicherry, Tamil Nadu and West Bengal."
4,Buthidae,"Isometrus (Reddyanus) brachycentrus Pocock, 1899","Kerala, Karnataka, and Tamil Nadu."
5,Buthidae,"Isometrus (Isometrus) maculatus (De Geer, 1778)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Meghalaya and Tamil Nadu."
6,Buthidae,"Isometrus(Isometrus) thurstoni Pocock, 1893","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu and West Bengal."
7,Buthidae,"Lychas albimanus Henderson, 1919","Kerala, Himachal Pradesh, Odisha, Uttar Pradesh and Tamil Nadu"
8,Buthidae,"Lychas hendersoni (Pocock, 1897)",Kerala and Tamil Nadu.
9,Buthidae,"Lychas laevifrons (Pocock, 1897)","Kerala, Bihar, Gujarat, Madhya Pradesh, Maharashtra, Odisha and West Bengal."
10,Buthidae,"Lychas tricarinatus (Simon, 1884)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu, Bihar and Goa."
11,Buthidae,"Buthoscorpio chinnarensis Aswathi, Sureshan & Lourenco, 2015",Kerala.
12,Liochelidae,"Chiromachetes fergusoni Pocock, 1899",Kerala
13,Liochelidae,"Iomachus laeviceps (Pocock, 1890)",Kerala and Tamil Nadu.
14,Liochelidae,"Liocheles australasiae (Fabricius, 1775)",Kerala and Andaman & Nicobar Island.
15,Scorpionidae,"Heterometrus barberi (Pocock, 1900)",Kerala and Tamil Nadu.
16,Scorpionidae,"Heterometrus gravimanus (Pocock, 1894)",Kerala and Tamil Nadu.
17,Scorpionidae,"Heterometrus kanaraensis (Pocock, 1900)","Kerala, Karnataka and Goa."
18,Scorpionidae,"Heterometrus keralaensis Tikader & Bastawade, 1983",Kerala and Maharashtra.
19,Scorpionidae,"Heterometrus phipsoni (Pocock, 1893)","Kerala, Andhra Pradesh, Madhya Pradesh, Maharashtra, Odisha, West Bengal and Tamil Nadu."
20,Scorpionidae,"Heterometrus scaber (Thorell, 1876)","Kerala, Karnataka, Maharashtra, Puducherry and Tamil Nadu."
21,Scorpionidae,"Heterometrus swammerdami Simon, 1872","Kerala, Andhra Pradesh, Chhattisgarh, Madhya Pradesh, Karnataka, Maharashtra, Odisha, Pondicherry, Uttarakhand, Uttar Pradesh, Tamil Nadu and West Bengal."
22,Scorpionidae,"Heterometrus flavimanus (Pocock,1900)",Kerala and Tamil Nadu
23,Scorpionidae,"Rugodentus keralaensis Bastawade, Sureshan & Radhakrishnan, 2005",Kerala.
